Subconjunto,Modelo,Acurácia,F1 Score (macro),Subconjunto_Abreviado
Mutual Info (Top 10),MLP,0.9090909090909091,0.9091368638166668,MI (10)
Mutual Info (Top 5),Regressão Logística,0.9045454545454545,0.9058307533539732,MI (5)
RFE (Top 5),Regressão Logística,0.9045454545454545,0.9048567499271725,RFE (5)
RFE (Top 10),Regressão Logística,0.9045454545454545,0.9048567499271725,RFE (10)
Mutual Info (Top 10),Regressão Logística,0.9,0.901390077860666,MI (10)
RFE (Top 5),Random Forest,0.8954545454545455,0.8955439008963458,RFE (5)
RFE (Top 10),Random Forest,0.8954545454545455,0.8955439008963458,RFE (10)
Mutual Info (Top 10),SVM,0.8909090909090909,0.8920040625324673,MI (10)
Mutual Info (Top 10),KNN,0.8909090909090909,0.8906684436828661,MI (10)
Mutual Info (Top 10),Gradient Boosting,0.8909090909090909,0.8908768987046874,MI (10)
RFE (Top 5),MLP,0.8909090909090909,0.891012519847611,RFE (5)
RFE (Top 10),MLP,0.8909090909090909,0.891012519847611,RFE (10)
Random Forest (Top 5),Regressão Logística,0.8909090909090909,0.8922999358017027,RF (5)
Random Forest (Top 10),Random Forest,0.8863636363636364,0.8866488955539387,RF (10)
Todas as Features,Random Forest,0.8863636363636364,0.8860317460317461,Todas
RFE (Top 10),SVM,0.8863636363636364,0.886257969505657,RFE (10)
RFE (Top 5),SVM,0.8863636363636364,0.886257969505657,RFE (5)
RFE (Top 5),Decision Tree,0.8818181818181818,0.881831331495761,RFE (5)
Todas as Features,Regressão Logística,0.8818181818181818,0.8820472830325047,Todas
Random Forest (Top 10),KNN,0.8818181818181818,0.882249327228882,RF (10)
Mutual Info (Top 5),Gradient Boosting,0.8818181818181818,0.8815499958650251,MI (5)
RFE (Top 10),Decision Tree,0.8818181818181818,0.881831331495761,RFE (10)
Mutual Info (Top 5),MLP,0.8772727272727273,0.8772155692485618,MI (5)
RFE (Top 5),KNN,0.8772727272727273,0.8766996024292034,RFE (5)
RFE (Top 5),Gradient Boosting,0.8772727272727273,0.877209487751801,RFE (5)
Mutual Info (Top 10),Random Forest,0.8772727272727273,0.877349548081526,MI (10)
Random Forest (Top 10),MLP,0.8772727272727273,0.8777711650052075,RF (10)
Random Forest (Top 5),MLP,0.8772727272727273,0.8770756672165123,RF (5)
RFE (Top 10),KNN,0.8772727272727273,0.8766996024292034,RFE (10)
RFE (Top 10),Gradient Boosting,0.8772727272727273,0.877209487751801,RFE (10)
Random Forest (Top 5),Gradient Boosting,0.8772727272727273,0.8769677238341776,RF (5)
Random Forest (Top 10),Regressão Logística,0.8772727272727273,0.8777946457886951,RF (10)
Random Forest (Top 5),SVM,0.8772727272727273,0.8775195392842452,RF (5)
Random Forest (Top 10),Decision Tree,0.8727272727272727,0.8730983302411874,RF (10)
Random Forest (Top 10),Gradient Boosting,0.8727272727272727,0.8726741838287827,RF (10)
Mutual Info (Top 5),SVM,0.8727272727272727,0.8734315330060012,MI (5)
Todas as Features,MLP,0.8727272727272727,0.8728564180618975,Todas
Mutual Info (Top 5),KNN,0.8727272727272727,0.8720729161905633,MI (5)
Mutual Info (Top 5),Decision Tree,0.8727272727272727,0.8725739736744873,MI (5)
Todas as Features,Decision Tree,0.8681818181818182,0.8682235366964431,Todas
Random Forest (Top 10),SVM,0.8681818181818182,0.8686242426360554,RF (10)
Random Forest (Top 5),Decision Tree,0.8681818181818182,0.867878845574119,RF (5)
Random Forest (Top 5),Random Forest,0.8681818181818182,0.8676040446343031,RF (5)
Random Forest (Top 5),KNN,0.8636363636363636,0.8649506521846947,RF (5)
Todas as Features,Gradient Boosting,0.8636363636363636,0.8635728263908303,Todas
Mutual Info (Top 5),Random Forest,0.8636363636363636,0.863268349845531,MI (5)
Mutual Info (Top 10),Decision Tree,0.8545454545454545,0.8540929178239888,MI (10)
Todas as Features,KNN,0.4318181818181818,0.4263687987493026,Todas
Todas as Features,SVM,0.35454545454545455,0.27644082438602985,Todas
